@relation 'MARSYAS_EMPTYhectorDataset.arff-weka.filters.unsupervised.attribute.Remove-R1,3-5,8-9,17-29,31,33-35,37-60,63,66-76,78-94,96-97,99-124'

@attribute Mean_Acc5_Mean_Mem20_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Mean_Mem20_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Mean_Mem20_MFCC2_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Mean_Mem20_MFCC5_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Mean_Mem20_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Mean_Mem20_MFCC7_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Mean_Mem20_MFCC8_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Mean_Mem20_MFCC9_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Mean_Mem20_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Mean_Mem20_MFCC11_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Mean_Mem20_PeakRatio_Average_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Std_Mem20_ZeroCrossings_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Std_Mem20_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Std_Mem20_PeakRatio_Average_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Std_Mem20_PeakRatio_Minimum_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Std_Acc5_Mean_Mem20_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Std_Acc5_Mean_Mem20_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Std_Acc5_Mean_Mem20_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Std_Acc5_Std_Mem20_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Std_Acc5_Std_Mem20_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute output {0,1,2}

@data
0.014574,6.52848,0.921798,0.728522,0.517698,0.271909,0.19529,0.789712,1.09768,0.278468,1.216824,0.006987,4.326116,0.083399,0.24687,0.001701,0.004949,0.313272,0.004204,1.862247,0
0.014199,6.855356,0.45362,0.441125,0.054004,-0.077189,0.307196,0.851771,0.76544,0.533535,1.229613,0.00291,4.064785,0.066462,0.201532,0.00208,0.006495,0.35176,0.004208,1.908884,0
0.014489,5.935596,0.971777,0.681079,0.603147,0.300361,0.199836,0.632346,0.62249,0.034606,1.256602,0.012795,4.116275,0.078758,0.246771,0.001659,0.005047,0.055209,0.004107,2.017141,0
0.018197,6.532735,0.532956,0.400417,0.152062,0.284933,0.513061,1.15895,0.949746,0.422221,1.219534,0.008612,3.979753,0.063787,0.186036,0.00364,0.010298,0.354629,0.004078,2.073035,0
0.015275,7.538071,-0.241848,0.139323,0.208129,0.597382,0.567852,0.497036,0.105276,0.180493,1.239186,0.009382,4.844608,0.079417,0.229664,0.001257,0.004676,0.353966,0.004362,1.990118,0
0.019953,5.828845,0.600597,0.357445,0.059784,0.727559,0.771909,0.543048,0.52448,0.134119,1.264882,0.014338,4.38519,0.088638,0.274347,0.0032,0.009633,0.318106,0.004559,2.114172,0
0.01589,6.534049,0.567622,0.565606,-0.087171,0.680551,0.600236,0.850462,0.374577,0.017374,1.225979,0.007892,4.460425,0.072192,0.205026,0.002061,0.005581,0.301643,0.005882,2.086355,0
0.01401,6.344927,1.231256,0.155813,0.14645,0.363044,0.09261,0.759616,0.551782,-0.017677,1.291761,0.012494,3.770182,0.067218,0.222085,0.001914,0.005877,0.188095,0.004224,2.064564,0
0.014643,6.2147,0.673979,0.883849,-0.020732,0.091406,0.147463,0.704142,0.564521,0.072743,1.263338,0.013151,3.808885,0.066979,0.20603,0.002445,0.009991,0.079705,0.005208,1.838013,0
0.015435,6.277551,0.578478,0.504093,-0.139081,0.059314,0.988687,0.946788,0.688101,0.287906,1.20745,0.008639,4.258794,0.065505,0.161714,0.001629,0.006106,0.251315,0.00408,1.931731,0
0.013434,6.656158,1.066287,0.35918,0.31152,0.023207,0.035143,0.733017,0.502597,0.639053,1.240891,0.012304,4.079389,0.074322,0.225043,0.001239,0.005315,0.265893,0.004412,1.914312,0
0.016744,6.259871,0.26548,0.790837,0.466595,0.266251,0.307915,1.147197,0.621176,-0.063724,1.217311,0.012437,3.993953,0.080335,0.243043,0.002931,0.01,0.386304,0.004357,1.939249,0
0.016656,5.60991,0.607353,0.748796,0.187656,0.23805,0.594067,0.641934,0.413911,0.027127,1.217104,0.020728,4.144646,0.073413,0.231829,0.002145,0.005881,0.259048,0.004714,2.057372,0
0.02343,6.168713,0.213982,0.514904,0.512876,0.108972,0.201972,0.252295,0.178501,-0.183214,1.278151,0.018063,4.775203,0.113758,0.387907,0.00342,0.009476,0.091664,0.005197,2.124999,0
